game,platform,developer,genre,rating,release_date,metascore,user_score
Portal 2,PC,Valve Software,Action,E10+,2011-04-18,95,90
The Elder Scrolls V: Skyrim,PC,Bethesda Game Studios,Role-Playing,M,2011-11-10,94,82
The Legend of Zelda: Ocarina of Time 3D,3DS,GREZZO,Miscellaneous,E10+,2011-06-19,94,90
Batman: Arkham City,PC,Rocksteady Studios,Action Adventure,T,2011-11-21,91,87
Super Mario 3D Land,3DS,Nintendo,Action,E,2011-11-13,90,84
Deus Ex: Human Revolution,PC,Nixxes Software,Action,M,2011-08-23,90,85
Pushmo,3DS,Intelligent Systems,Miscellaneous,E,2011-12-08,90,83
Total War: Shogun 2,PC,Creative Assembly,Strategy,T,2011-03-15,90,84
FIFA Soccer 12,PC,Electronic Arts,Sports,E,2011-09-27,89,71
Battlefield 3,PC,EA DICE,Action,M,2011-10-25,89,76
LIMBO,PC,PLAYDEAD,Action,T,2011-08-02,88,81
Assassin's Creed: Brotherhood,PC,Ubisoft Montreal,Action Adventure,M,2011-03-22,88,82
The Witcher 2: Assassins of Kings,PC,CD Projekt Red Studio,Role-Playing,M,2011-05-17,88,85
Dead Space 2,PC,Visceral Games,Action,M,2011-01-25,87,84
Bastion,PC,Supergiant Games,Action,E10+,2011-08-16,86,85
Crysis 2,PC,Crytek,Action,M,2011-03-22,86,68
DiRT 3,PC,Codemasters,Driving,T,2011-05-23,86,70
Battlefield 3: Back to Karkand,PC,EA DICE,Action,M,2011-12-13,86,72
Super Street Fighter IV: 3D Edition,3DS,Capcom,Action,T,2011-03-27,85,80
Frozen Synapse,PC,Mode 7 Games,Strategy,,2011-05-26,85,76
Mario Kart 7,3DS,"Retro Studios, Entertainment Analysis & Development Division",Driving,E,2011-12-04,85,83
Star Wars: The Old Republic,PC,"LucasArts, BioWare",Sci-Fi,T,2011-12-20,85,59
Saints Row: The Third,PC,Volition Inc.,Action Adventure,M,2011-11-14,84,81
SpaceChem,PC,Zachtronics Industries,Miscellaneous,,2011-03-02,84,85
Super Street Fighter IV: Arcade Edition,PC,"Capcom, QLOC",Action,T,2011-07-07,84,77
Football Manager 2012,PC,Sports Interactive,Sports,E,2011-10-20,84,79
Unity of Command,PC,2x2 Games,Strategy,,2011-11-15,84,71
The Binding of Isaac,PC,"Edmund McMillen, Florian Himsl",Action,,2011-09-28,84,84
Trine 2,PC,"Frozenbyte, Inc.",Action,E10+,2011-12-07,84,84
Rift,PC,Trion Worlds,Role-Playing,T,2011-03-01,84,73
Shift 2: Unleashed,PC,Slightly Mad Studios,Driving,E10+,2011-03-29,84,62
Anno 2070,PC,"Blue Byte, Related Designs",Strategy,T,2011-11-17,83,71
Orcs Must Die!,PC,Robot Entertainment,Action,T,2011-10-11,83,81
Terraria,PC,Re-Logic,Action,T,2011-05-16,83,86
L.A. Noire: The Complete Edition,PC,Rockstar Leeds,Action Adventure,M,2011-11-08,83,79
VVVVVV,3DS,Terry Cavanagh,Action,E,2011-12-29,83,80
F1 2011,PC,Codemasters,Driving,E,2011-09-19,83,71
The Book of Unwritten Tales,PC,KING Art,Adventure,T,2011-10-28,82,83
Cave Story 3D,3DS,Nicalis,Action,E10+,2011-11-08,82,82
Gemini Rue,PC,"Wadjet Eye Games, Joshua Nuernberger",Adventure,,2011-02-24,82,84
Dragon Age II,PC,BioWare,Role-Playing,M,2011-03-08,82,45
Skylanders: Spyro's Adventure,3DS,Vicarious Visions,Action,E10+,2011-10-16,82,50
Monday Night Combat,PC,Uber Entertainment,Action,T,2011-01-24,82,73
Bulletstorm,PC,"Epic Games, People Can Fly",General,M,2011-02-21,82,77
Fallout: New Vegas - Old World Blues,PC,Obsidian Entertainment,Role-Playing,M,2011-07-19,82,77
To the Moon,PC,Freebird Games,Role-Playing,,2011-11-01,81,89
Star Fox 64 3D,3DS,Nintendo,Action,E10+,2011-09-09,81,81
Rochard,PC,Recoil Games,Action,T,2011-11-15,81,79
Jamestown: Legend of the Lost Colony,PC,"Final Form Games, LLC",Action,,2011-06-08,81,75
TrackMania 2 Canyon,PC,Nadeo,Driving,E,2011-09-14,81,77
Dungeon Defenders,PC,Trendy Entertainment,Role-Playing,E10+,2011-10-18,81,73
Anomaly: Warzone Earth,PC,11 bit studios,Strategy,E10+,2011-04-08,80,73
Dead Island,PC,Techland,Action Adventure,M,2011-09-05,80,69
Assassin's Creed: Revelations,PC,Ubisoft Montreal,Action Adventure,M,2011-11-29,80,74
World of Tanks,PC,Wargaming.net,First-Person,T,2011-04-12,80,36
"Warhammer 40,000: Dawn of War II - Retribution",PC,Relic,Strategy,M,2011-02-28,80,77
Panzer Corps,PC,The Lordz Games Studio,Strategy,,2011-07-11,80,75
Driver: San Francisco,PC,Ubisoft Reflections,Driving,T,2011-09-27,80,71
CAPSIZED,PC,Alientrap,Action,,2011-04-29,80,72
Dead or Alive: Dimensions,3DS,Team Ninja,Action,T,2011-05-24,79,81
Runaway: A Twist of Fate,PC,Pendulo Studios,Adventure,T,2011-04-21,79,79
Bloodline Champions,PC,Stunlock Studios,Action,,2011-01-13,79,77
Dungeons of Dredmor,PC,Gaslamp Games,Role-Playing,,2011-07-13,79,77
Rage,PC,id Software,Action,M,2011-10-03,79,53
The Sims 3: Pets,PC,The Sims Studio,Simulation,T,2011-10-18,79,61
Mighty Switch Force!,3DS,WayForward,Action,E10+,2011-12-22,79,78
Two Worlds II: Pirates of the Flying Fortress,PC,Reality Pump,Role-Playing,M,2011-09-30,78,75
Call of Duty: Modern Warfare 3,PC,"Infinity Ward, Sledgehammer Games",Action,M,2011-11-08,78,27
Shin Megami Tensei: Devil Survivor Overclocked,3DS,Atlus,Role-Playing,T,2011-08-23,78,43
Tropico 4,PC,"Haemimont, Haemimont Games",Strategy,T,2011-08-30,78,78
Tom Clancy's Ghost Recon: Shadow Wars,3DS,Ubisoft,Action,T,2011-03-22,77,79
Sonic Generations,PC,Sega,Action,E,2011-11-03,77,83
Men of War: Assault Squad,PC,"THQ, 1C, 1C Company",Strategy,T,2011-02-25,77,80
3D Classics: Kirby's Adventure,3DS,Arika,Action,E,2011-11-17,77,79
Section 8: Prejudice,PC,TimeGate Studios,Action,T,2011-05-04,77,77
Might & Magic: Heroes VI,PC,Black Hole Games,Role-Playing,T,2011-10-13,77,60
Pro Evolution Soccer 2012,PC,Konami,Sports,,2011-09-27,77,65
Xenonauts,PC,"Gamethunks, Goldhawk Interactive",General,,2011-11-04,77,79
Magic: The Gathering - Duels of the Planeswalkers 2012,PC,Stainless Games,Strategy,T,2011-06-15,77,58
The Sims Medieval,PC,The Sims Studio,Simulation,T,2011-03-22,77,60
Hamilton's Great Adventure,PC,Fatshark AB,Adventure,E,2011-05-31,77,74
From Dust,PC,Ubisoft Montpellier,Strategy,E10+,2011-08-17,76,49
Renegade Ops,PC,Avalanche Studios,Action,T,2011-10-26,76,75
LEGO Star Wars III: The Clone Wars,PC,Traveller's Tales,Action Adventure,E10+,2011-03-22,76,76
Red Orchestra 2: Heroes of Stalingrad,PC,Tripwire Interactive,Action,M,2011-09-13,76,73
Who's That Flying?!,PC,Mediatonic,Action,,2011-01-31,76,67
Payday: The Heist,PC,Overkill Software,Action,M,2011-10-20,76,77
Two Worlds II,PC,Reality Pump,Role-Playing,M,2011-02-03,76,64
Avadon: The Black Fortress,PC,Spiderweb Software,Role-Playing,,2011-05-02,75,77
Black Mirror III: Final Fear,PC,"DTP Entertainment, Cranberry Production",Adventure,M,2011-04-19,75,79
Red Faction: Armageddon,PC,Volition Inc.,Action,M,2011-06-06,75,67
Bit.Trip Saga,3DS,Gaijin Games,Miscellaneous,E,2011-09-13,75,79
Back to the Future: The Game - Episode V: OUTATIME,PC,Telltale Games,Action Adventure,RP,2011-06-23,75,72
Atom Zombie Smasher,PC,Blendo Games,Strategy,T,2011-01-23,75,71
Fable III,PC,Lionhead Studios,Role-Playing,M,2011-05-17,75,55
Ridge Racer 3D,3DS,Namco Bandai Games,Driving,E,2011-03-22,75,73
Nano Assault,3DS,Shin'en,Action,E10+,2011-12-05,75,77
Alice: Madness Returns,PC,Spicy Horse,Action Adventure,M,2011-06-14,75,84
Hector: Badge of Carnage - Episode 1: We Negotiate With Terrorists,PC,Straandlooper,Action,,2011-04-27,75,71
The Next Big Thing,PC,Pendulo Studios,Adventure,E10+,2011-04-21,75,77
Back to the Future: The Game - Episode II: Get Tannen!,PC,Telltale Games,Action Adventure,RP,2011-02-17,74,73
Edge (2011),PC,"Two Tribes, Mobigame",Action,,2011-08-11,74,75
Tetris Axis,3DS,Hudson Soft,Miscellaneous,E,2011-10-02,74,69
Space Pirates and Zombies,PC,MinMax Games Ltd.,Adventure,,2011-06-19,74,76
Magicka,PC,Arrowhead Game Studios,Action Adventure,T,2011-01-25,74,76
"Warhammer 40,000: Space Marine",PC,Relic,Action,M,2011-09-05,74,75
F.E.A.R. 3,PC,Day 1 Studios,Modern,M,2011-06-21,74,58
Rock of Ages,PC,ACE Team,Action,E10+,2011-09-07,74,77
Fortix 2,PC,Nemesys,Action Adventure,,2011-05-06,74,70
